Plan Name,Slug,Cost USD,Retail USD,Retail USD,Direct Link,Shop Link
"Global139 1GB 7Days",GL-139_1_7,7.60,10.12,10.12,"https://asim.esimqr.link/pay/usd/GL-139_1_7","https://asim.esimqr.link/?slug=GL-139_1_7"
"Global139 1GB 365Days",GL-139_1_365,14.60,18.36,18.36,"https://asim.esimqr.link/pay/usd/GL-139_1_365","https://asim.esimqr.link/?slug=GL-139_1_365"
"Global139 3GB 30Days",GL-139_3_30,19.40,24.00,24.00,"https://asim.esimqr.link/pay/usd/GL-139_3_30","https://asim.esimqr.link/?slug=GL-139_3_30"
"Global139 5GB 30Days",GL-139_5_30,29.60,36.00,36.00,"https://asim.esimqr.link/pay/usd/GL-139_5_30","https://asim.esimqr.link/?slug=GL-139_5_30"
"Global139 10GB 30Days",GL-139_10_30,53.20,63.77,63.77,"https://asim.esimqr.link/pay/usd/GL-139_10_30","https://asim.esimqr.link/?slug=GL-139_10_30"
"Global139 20GB 90Days",GL-139_20_90,89.68,106.69,106.69,"https://asim.esimqr.link/pay/usd/GL-139_20_90","https://asim.esimqr.link/?slug=GL-139_20_90"
"Europe 500MB/Day",EU-42_0.5_Daily,1.60,3.06,3.06,"https://asim.esimqr.link/pay/usd/EU-42_0.5_Daily","https://asim.esimqr.link/?slug=EU-42_0.5_Daily"
"Europe 1GB/Day",EU-42_1_Daily,2.80,4.48,4.48,"https://asim.esimqr.link/pay/usd/EU-42_1_Daily","https://asim.esimqr.link/?slug=EU-42_1_Daily"
"Europe 1GB 7Days",EU-42_1_7,2.90,4.59,4.59,"https://asim.esimqr.link/pay/usd/EU-42_1_7","https://asim.esimqr.link/?slug=EU-42_1_7"
"Europe 2GB/Day",EU-42_2_Daily,5.40,7.53,7.53,"https://asim.esimqr.link/pay/usd/EU-42_2_Daily","https://asim.esimqr.link/?slug=EU-42_2_Daily"
"Europe 3GB 15Days",EU-42_3_15,7.20,9.65,9.65,"https://asim.esimqr.link/pay/usd/EU-42_3_15","https://asim.esimqr.link/?slug=EU-42_3_15"
"Europe 3GB 30Days",EU-42_3_30,7.30,9.77,9.77,"https://asim.esimqr.link/pay/usd/EU-42_3_30","https://asim.esimqr.link/?slug=EU-42_3_30"
"Europe 5GB 30Days",EU-42_5_30,11.00,14.12,14.12,"https://asim.esimqr.link/pay/usd/EU-42_5_30","https://asim.esimqr.link/?slug=EU-42_5_30"
"Europe 10GB 30Days",EU-42_10_30,19.00,23.53,23.53,"https://asim.esimqr.link/pay/usd/EU-42_10_30","https://asim.esimqr.link/?slug=EU-42_10_30"
"Europe 20GB 30Days",EU-42_20_30,32.00,38.83,38.83,"https://asim.esimqr.link/pay/usd/EU-42_20_30","https://asim.esimqr.link/?slug=EU-42_20_30"
"Europe 20GB 90Days",EU-42_20_90,34.00,41.18,41.18,"https://asim.esimqr.link/pay/usd/EU-42_20_90","https://asim.esimqr.link/?slug=EU-42_20_90"
"Europe 50GB 180Days",EU-42_50_180,78.00,92.95,92.95,"https://asim.esimqr.link/pay/usd/EU-42_50_180","https://asim.esimqr.link/?slug=EU-42_50_180"
"Global (120+ areas) 1GB 7Days",GL-120_1_7,4.60,6.59,6.59,"https://asim.esimqr.link/pay/usd/GL-120_1_7","https://asim.esimqr.link/?slug=GL-120_1_7"
"Global (120+ areas) 1GB 365Days",GL-120_1_365,7.00,9.42,9.42,"https://asim.esimqr.link/pay/usd/GL-120_1_365","https://asim.esimqr.link/?slug=GL-120_1_365"
"Global (120+ areas) 3GB 30Days",GL-120_3_30,11.40,14.59,14.59,"https://asim.esimqr.link/pay/usd/GL-120_3_30","https://asim.esimqr.link/?slug=GL-120_3_30"
"Global (120+ areas) 5GB 30Days",GL-120_5_30,18.00,22.36,22.36,"https://asim.esimqr.link/pay/usd/GL-120_5_30","https://asim.esimqr.link/?slug=GL-120_5_30"
"Global (120+ areas) 10GB 30Days",GL-120_10_30,34.00,41.18,41.18,"https://asim.esimqr.link/pay/usd/GL-120_10_30","https://asim.esimqr.link/?slug=GL-120_10_30"
"Global (120+ areas) 20GB 30Days",GL-120_20_30,60.00,71.77,71.77,"https://asim.esimqr.link/pay/usd/GL-120_20_30","https://asim.esimqr.link/?slug=GL-120_20_30"
"Global (120+ areas) 20GB 90Days",GL-120_20_90,66.50,79.42,79.42,"https://asim.esimqr.link/pay/usd/GL-120_20_90","https://asim.esimqr.link/?slug=GL-120_20_90"
"Balkans (5+ areas) 500MB/Day",EU-7_0.5_Daily,1.50,2.95,2.95,"https://asim.esimqr.link/pay/usd/EU-7_0.5_Daily","https://asim.esimqr.link/?slug=EU-7_0.5_Daily"
"Balkans (5+ areas) 1GB/Day",EU-7_1_Daily,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/EU-7_1_Daily","https://asim.esimqr.link/?slug=EU-7_1_Daily"
"Balkans (5+ areas) 1GB 7Days",EU-7_1_7,2.58,4.22,4.22,"https://asim.esimqr.link/pay/usd/EU-7_1_7","https://asim.esimqr.link/?slug=EU-7_1_7"
"Balkans (5+ areas) 2GB/Day",EU-7_2_Daily,4.00,5.89,5.89,"https://asim.esimqr.link/pay/usd/EU-7_2_Daily","https://asim.esimqr.link/?slug=EU-7_2_Daily"
"Balkans (5+ areas) 3GB 15Days",EU-7_3_15,6.80,9.18,9.18,"https://asim.esimqr.link/pay/usd/EU-7_3_15","https://asim.esimqr.link/?slug=EU-7_3_15"
"Balkans (5+ areas) 3GB 30Days",EU-7_3_30,7.10,9.53,9.53,"https://asim.esimqr.link/pay/usd/EU-7_3_30","https://asim.esimqr.link/?slug=EU-7_3_30"
"Balkans (5+ areas) 5GB 30Days",EU-7_5_30,11.20,14.36,14.36,"https://asim.esimqr.link/pay/usd/EU-7_5_30","https://asim.esimqr.link/?slug=EU-7_5_30"
"Balkans (5+ areas) 10GB 30Days",EU-7_10_30,21.50,26.48,26.48,"https://asim.esimqr.link/pay/usd/EU-7_10_30","https://asim.esimqr.link/?slug=EU-7_10_30"
"Balkans (5+ areas) 20GB 30Days",EU-7_20_30,40.00,48.24,48.24,"https://asim.esimqr.link/pay/usd/EU-7_20_30","https://asim.esimqr.link/?slug=EU-7_20_30"
"Caribbean (20+ areas) 500MB/Day",CB-24_0.5_Daily,3.00,4.71,4.71,"https://asim.esimqr.link/pay/usd/CB-24_0.5_Daily","https://asim.esimqr.link/?slug=CB-24_0.5_Daily"
"Caribbean (20+ areas) 1GB 7Days Single Use",CB-24_1_7_End,5.90,8.12,8.12,"https://asim.esimqr.link/pay/usd/CB-24_1_7_End","https://asim.esimqr.link/?slug=CB-24_1_7_End"
"Caribbean (20+ areas) 1GB 7Days",CB-25_1_7,5.90,8.12,8.12,"https://asim.esimqr.link/pay/usd/CB-25_1_7","https://asim.esimqr.link/?slug=CB-25_1_7"
"Caribbean (20+ areas) 1GB/Day",CB-24_1_Daily,6.80,9.18,9.18,"https://asim.esimqr.link/pay/usd/CB-24_1_Daily","https://asim.esimqr.link/?slug=CB-24_1_Daily"
"Caribbean (20+ areas) 3GB 30Days Single Use",CB-24_3_30_End,14.90,18.71,18.71,"https://asim.esimqr.link/pay/usd/CB-24_3_30_End","https://asim.esimqr.link/?slug=CB-24_3_30_End"
"Caribbean (20+ areas) 3GB 30Days",CB-25_3_30,14.90,18.71,18.71,"https://asim.esimqr.link/pay/usd/CB-25_3_30","https://asim.esimqr.link/?slug=CB-25_3_30"
"Caribbean (20+ areas) 5GB 30Days Single Use",CB-24_5_30_End,26.90,32.83,32.83,"https://asim.esimqr.link/pay/usd/CB-24_5_30_End","https://asim.esimqr.link/?slug=CB-24_5_30_End"
"Caribbean (20+ areas) 5GB 30Days",CB-25_5_30,26.90,32.83,32.83,"https://asim.esimqr.link/pay/usd/CB-25_5_30","https://asim.esimqr.link/?slug=CB-25_5_30"
"Caribbean (20+ areas) 5GB/Day",CB-24_5_Daily,35.00,42.36,42.36,"https://asim.esimqr.link/pay/usd/CB-24_5_Daily","https://asim.esimqr.link/?slug=CB-24_5_Daily"
"Caribbean (20+ areas) 10GB 30Days Single Use",CB-24_10_30_End,44.90,54.00,54.00,"https://asim.esimqr.link/pay/usd/CB-24_10_30_End","https://asim.esimqr.link/?slug=CB-24_10_30_End"
"Caribbean (20+ areas) 10GB 30Days",CB-25_10_30,44.90,54.00,54.00,"https://asim.esimqr.link/pay/usd/CB-25_10_30","https://asim.esimqr.link/?slug=CB-25_10_30"
"South America 1GB 7Days",SA-18_1_7,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/SA-18_1_7","https://asim.esimqr.link/?slug=SA-18_1_7"
"South America 3GB 15Days",SA-18_3_15,14.10,17.77,17.77,"https://asim.esimqr.link/pay/usd/SA-18_3_15","https://asim.esimqr.link/?slug=SA-18_3_15"
"South America 3GB 30Days",SA-18_3_30,14.40,18.12,18.12,"https://asim.esimqr.link/pay/usd/SA-18_3_30","https://asim.esimqr.link/?slug=SA-18_3_30"
"South America 5GB 30Days",SA-18_5_30,21.00,25.89,25.89,"https://asim.esimqr.link/pay/usd/SA-18_5_30","https://asim.esimqr.link/?slug=SA-18_5_30"
"South America 10GB 30Days",SA-18_10_30,37.00,44.71,44.71,"https://asim.esimqr.link/pay/usd/SA-18_10_30","https://asim.esimqr.link/?slug=SA-18_10_30"
"Middle East 1GB 7Days",ME-13_1_7,7.00,9.42,9.42,"https://asim.esimqr.link/pay/usd/ME-13_1_7","https://asim.esimqr.link/?slug=ME-13_1_7"
"Middle East 3GB 30Days",ME-13_3_30,17.90,22.24,22.24,"https://asim.esimqr.link/pay/usd/ME-13_3_30","https://asim.esimqr.link/?slug=ME-13_3_30"
"Middle East 5GB 30Days",ME-13_5_30,26.00,31.77,31.77,"https://asim.esimqr.link/pay/usd/ME-13_5_30","https://asim.esimqr.link/?slug=ME-13_5_30"
"Asia-20 1GB 7 Days",AS-20_1_7,3.60,5.42,5.42,"https://asim.esimqr.link/pay/usd/AS-20_1_7","https://asim.esimqr.link/?slug=AS-20_1_7"
"Asia-20 1GB 30 Days",AS-20_1_30,3.70,5.53,5.53,"https://asim.esimqr.link/pay/usd/AS-20_1_30","https://asim.esimqr.link/?slug=AS-20_1_30"
"Asia-20 3GB 15Days",AS-20_3_15,8.90,11.65,11.65,"https://asim.esimqr.link/pay/usd/AS-20_3_15","https://asim.esimqr.link/?slug=AS-20_3_15"
"Asia-20 3GB 30Days",AS-20_3_30,9.20,12.00,12.00,"https://asim.esimqr.link/pay/usd/AS-20_3_30","https://asim.esimqr.link/?slug=AS-20_3_30"
"Asia-20 5GB 30 Days",AS-20_5_30,13.60,17.18,17.18,"https://asim.esimqr.link/pay/usd/AS-20_5_30","https://asim.esimqr.link/?slug=AS-20_5_30"
"Asia-20 10GB 30Days",AS-20_10_30,23.00,28.24,28.24,"https://asim.esimqr.link/pay/usd/AS-20_10_30","https://asim.esimqr.link/?slug=AS-20_10_30"
"Asia-20 20GB 30Days",AS-20_20_30,40.00,48.24,48.24,"https://asim.esimqr.link/pay/usd/AS-20_20_30","https://asim.esimqr.link/?slug=AS-20_20_30"
"Asia-20 20GB 90 Days",AS-20_20_90,42.00,50.59,50.59,"https://asim.esimqr.link/pay/usd/AS-20_20_90","https://asim.esimqr.link/?slug=AS-20_20_90"
"Asia-20 50GB 180 Days",AS-20_50_180,89.00,105.89,105.89,"https://asim.esimqr.link/pay/usd/AS-20_50_180","https://asim.esimqr.link/?slug=AS-20_50_180"
"Australia & New Zealand 500MB/Day",AUNZ-2_0.5_Daily,1.10,2.48,2.48,"https://asim.esimqr.link/pay/usd/AUNZ-2_0.5_Daily","https://asim.esimqr.link/?slug=AUNZ-2_0.5_Daily"
"Australia & New Zealand 1GB/Day",AUNZ-2_1_Daily,1.60,3.06,3.06,"https://asim.esimqr.link/pay/usd/AUNZ-2_1_Daily","https://asim.esimqr.link/?slug=AUNZ-2_1_Daily"
"Australia & New Zealand 1GB 7Days",AUNZ-2_1_7,1.90,3.42,3.42,"https://asim.esimqr.link/pay/usd/AUNZ-2_1_7","https://asim.esimqr.link/?slug=AUNZ-2_1_7"
"Australia & New Zealand 2GB/Day",AUNZ-2_2_Daily,2.90,4.59,4.59,"https://asim.esimqr.link/pay/usd/AUNZ-2_2_Daily","https://asim.esimqr.link/?slug=AUNZ-2_2_Daily"
"Australia & New Zealand 3GB 15Days",AUNZ-2_3_15,5.10,7.18,7.18,"https://asim.esimqr.link/pay/usd/AUNZ-2_3_15","https://asim.esimqr.link/?slug=AUNZ-2_3_15"
